PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,objectid,object_thumb,object_location,reference_url
"7512","2386","MD","Talbot County","St. Peter&#39;s Parish","Church","1696","","1696","","","0","","0","rec7427","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02386/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02386/full/full/0/default.jpg","http://localhost:4000/items/rec7427.html"
"7513","2373","MD","","North Sessafres Parish","Church","1696","","1696","","","0","","0","rec7428","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02373/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02373/full/full/0/default.jpg","http://localhost:4000/items/rec7428.html"
"7514","2374","MD","Charles County","Piscatoway? Parish","Church","1696","","1696","","","0","","0","rec7429","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02374/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02374/full/full/0/default.jpg","http://localhost:4000/items/rec7429.html"
"7515","2375","MD","Baltimore","Porto Batto Parish","Church","1696","","1696","","","0","","0","rec7430","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02375/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02375/full/full/0/default.jpg","http://localhost:4000/items/rec7430.html"
"7517","2370","MD","Charles County","Nanjemoy Parish","Church","1696","","1701","","1701","69","1701","69","rec7432","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02370/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02370/full/full/0/default.jpg","http://localhost:4000/items/rec7432.html"
"7519","2365","MD","","Kent Island Parish","Church","1696","","1696","","","0","","0","rec7434","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02365/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02365/full/full/0/default.jpg","http://localhost:4000/items/rec7434.html"
"7520","2366","MD","","King and Queen&#39;s Parish - by Thomas Bray","Church","1696","","1696","","","0","","0","rec7435","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02366/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02366/full/full/0/default.jpg","http://localhost:4000/items/rec7435.html"
"7522","2356","MD","Dorchester County","Great Choptonk Parish","Church","1696","","1696","","","0","","0","rec7437","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02356/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02356/full/full/0/default.jpg","http://localhost:4000/items/rec7437.html"
"7523","2344","MD","Dorchester","Dorchester Parish","Church","1696","","1696","","","0","","0","rec7438","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02344/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02344/full/full/0/default.jpg","http://localhost:4000/items/rec7438.html"
"7524","2342","MD","Somerset Co.","Coventry Parish","Church","1696","","1696","","","0","","0","rec7439","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02342/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02342/full/full/0/default.jpg","http://localhost:4000/items/rec7439.html"
"7525","2339","MD","Calvert Co.","Christ Church Parish","Church","1696","","1696","","","0","","0","rec7440","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02339/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02339/full/full/0/default.jpg","http://localhost:4000/items/rec7440.html"
"7526","2331","MD","Ann Arundel County","Brood Neck Parish","Church","1696","","1696","","","0","","0","rec7441","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02331/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02331/full/full/0/default.jpg","http://localhost:4000/items/rec7441.html"
"7528","2270","MD","Calvert County","All Faith&#39;s Parish","Church","1696","","1696","","","0","","0","rec7443","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02270/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02270/full/full/0/default.jpg","http://localhost:4000/items/rec7443.html"
"7529","2271","MD","","All Saints Parish","Church","1696","","1696","","","0","","0","rec7444","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02271/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02271/full/full/0/default.jpg","http://localhost:4000/items/rec7444.html"
"7351","5773","PA","Philadelphia","Christ Church Library","Church","1697","","1875","","1697","327","1875","3500","rec7266","https://puliiif-staging.princeton.edu/iiif/2/davies%2F05773/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F05773/full/full/0/default.jpg","http://localhost:4000/items/rec7266.html"
"7922","2275","MD","Annapolis","Provincial Library","Co theo","1697","1704","","1784","1704","1095","1704","1095","rec7836","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02275/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02275/full/full/0/default.jpg","http://localhost:4000/items/rec7836.html"
"7199","2515","MA","Boston","King&#39;s Chapel Library","Church","1698","","","1823","1698","211","1823","1300","rec7114","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02515/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02515/full/full/0/default.jpg","http://localhost:4000/items/rec7114.html"
"7295","4685","NY","New York","Trinity Church","Church","1698","","","1776","1698","211","1698","211","rec7210","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04685/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04685/full/full/0/default.jpg","http://localhost:4000/items/rec7210.html"
"7303","4262","NJ","Perth Amboy","Parochial (Thomas Bray)","Church","1698","","1698","","","0","","0","rec7218","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04262/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04262/full/full/0/default.jpg","http://localhost:4000/items/rec7218.html"
"7521","2362","MD","Herring Creek","Parochial Library - St. James Parish","Church","1698","","1703","","1698","125","1698","125","rec7436","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02362/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02362/full/full/0/default.jpg","http://localhost:4000/items/rec7436.html"
