location,count,link
"plymouth",16,"http://localhost:4000/browse.html#plymouth"
"st. joseph",15,"http://localhost:4000/browse.html#st.%20joseph"
"ann arbor",15,"http://localhost:4000/browse.html#ann%20arbor"
"utica",15,"http://localhost:4000/browse.html#utica"
"princeton",15,"http://localhost:4000/browse.html#princeton"
"watertown",15,"http://localhost:4000/browse.html#watertown"
"farmington",15,"http://localhost:4000/browse.html#farmington"
"perry",15,"http://localhost:4000/browse.html#perry"
"knoxville",15,"http://localhost:4000/browse.html#knoxville"
"charlestown",15,"http://localhost:4000/browse.html#charlestown"
"lawrence",15,"http://localhost:4000/browse.html#lawrence"
"williamstown",15,"http://localhost:4000/browse.html#williamstown"
"hudson",14,"http://localhost:4000/browse.html#hudson"
"hamilton",14,"http://localhost:4000/browse.html#hamilton"
"detriot",14,"http://localhost:4000/browse.html#detriot"
"auburn",14,"http://localhost:4000/browse.html#auburn"
"fl",14,"http://localhost:4000/browse.html#fl"
"center",14,"http://localhost:4000/browse.html#center"
"lansing",14,"http://localhost:4000/browse.html#lansing"
"new brunswick",14,"http://localhost:4000/browse.html#new%20brunswick"
"milford",14,"http://localhost:4000/browse.html#milford"
"pittsfield",14,"http://localhost:4000/browse.html#pittsfield"
"amherst",14,"http://localhost:4000/browse.html#amherst"
"salt lake city",14,"http://localhost:4000/browse.html#salt%20lake%20city"
"winchester",13,"http://localhost:4000/browse.html#winchester"
"york",13,"http://localhost:4000/browse.html#york"
"norfolk",13,"http://localhost:4000/browse.html#norfolk"
"austin",13,"http://localhost:4000/browse.html#austin"
"wy",13,"http://localhost:4000/browse.html#wy"
"bath",13,"http://localhost:4000/browse.html#bath"
"dayton",13,"http://localhost:4000/browse.html#dayton"
"danville",13,"http://localhost:4000/browse.html#danville"
"greenfield",13,"http://localhost:4000/browse.html#greenfield"
"davenport",13,"http://localhost:4000/browse.html#davenport"
"van buren",13,"http://localhost:4000/browse.html#van%20buren"
"milton",13,"http://localhost:4000/browse.html#milton"
"marietta",13,"http://localhost:4000/browse.html#marietta"
"bloomfield",12,"http://localhost:4000/browse.html#bloomfield"
"pawtucket",12,"http://localhost:4000/browse.html#pawtucket"
"orange",12,"http://localhost:4000/browse.html#orange"
"groton",12,"http://localhost:4000/browse.html#groton"
"adams",12,"http://localhost:4000/browse.html#adams"
"quincy",12,"http://localhost:4000/browse.html#quincy"
"andover",12,"http://localhost:4000/browse.html#andover"
"richland",12,"http://localhost:4000/browse.html#richland"
"windsor",12,"http://localhost:4000/browse.html#windsor"
"greene",12,"http://localhost:4000/browse.html#greene"
"deerfield",12,"http://localhost:4000/browse.html#deerfield"
"az",12,"http://localhost:4000/browse.html#az"
"carlisle",12,"http://localhost:4000/browse.html#carlisle"
"middlebury",11,"http://localhost:4000/browse.html#middlebury"
"kalamazoo",11,"http://localhost:4000/browse.html#kalamazoo"
